"","Cluster","ASVs","IndSP","Specificity","Fidelity","pval"
"112","apr","ASV395",0.928795217748768,0.862660556512982,1,2e-04
"115","apr","ASV1633",0.937324116643457,0.878576499641437,1,1e-04
"116","apr","ASV1635",0.992392193959997,0.984842266632736,1,1e-04
"117","apr","ASV1636",0.918361931927977,0.843388638014486,1,4e-04
"118","apr","ASV1650",0.95259136757974,0.907430313587439,1,1e-04
"119","apr","ASV1677",0.898606094406052,0.807492912903698,1,8e-04
"120","apr","ASV1687",0.907021978191396,0.822688868922233,1,1e-04
"121","apr","ASV1694",0.97660159723204,0.953750679716171,1,1e-04
"125","apr","ASV1732",0.960259243706764,0.922097815124285,1,1e-04
"128","apr","ASV2275",0.914175173793115,0.835716248379673,1,3e-04
"129","apr","ASV2276",0.927907027644791,0.86101145195259,1,2e-04
"130","apr","ASV2398",0.926519151632161,0.85843773834118,1,1e-04
"133","apr","ASV6294",0.907614354094428,0.823763815758246,1,1e-04
"134","apr","ASV6403",0.899133769839439,0.808441536065681,1,1e-04
"135","apr","ASV6505",0.974349026233814,0.949356024922783,1,1e-04
"136","apr","ASV7123",0.923355188243488,0.852584803656167,1,1e-04
"137","apr","ASV9949",0.914075894995226,0.835534741811324,1,0.0029
"140","apr","ASV10130",0.896036330707049,0.802881105946951,1,1e-04
"142","apr","ASV12292",0.951839718916081,0.905998850506245,1,2e-04
"143","apr","ASV12304",0.902794146484629,0.815037270926909,1,0.0016
"145","apr","ASV12317",0.914334979387349,0.836008454531263,1,3e-04
"146","apr","ASV12771",0.899147676449017,0.808466544063666,1,1e-04
"106","hot","ASV1642",0.933061980063788,0.870604658640556,1,2e-04
"107","hot","ASV1646",0.911684240811763,0.83116815494452,1,1e-04
"109","hot","ASV1660",0.905707378283937,0.820305855077963,1,1e-04
"110","hot","ASV1671",0.899277981509945,0.808700888028601,1,3e-04
"111","hot","ASV1706",0.97337429302037,0.947457514312906,1,1e-04
"1121","hot","ASV1716",0.931362190742865,0.867435530345349,1,4e-04
"1131","hot","ASV1718",0.91448328556803,0.8362796795833,1,0.0021
"1161","hot","ASV2265",0.919164368059758,0.844863135510694,1,1e-04
"1181","hot","ASV2428",0.964267224865753,0.929811280950301,1,1e-04
"1221","hot","ASV2987",0.968491312681396,0.937975422739333,1,1e-04
"1231","hot","ASV2988",0.946295928489748,0.955174383228026,0.9375,1e-04
"1241","hot","ASV3239",0.902034877618628,0.813666920440453,1,1e-04
"1281","hot","ASV3773",0.977672588478127,0.955843690261521,1,1e-04
"1291","hot","ASV3774",0.957294996615256,0.916413710544603,1,1e-04
"1301","hot","ASV3775",0.977736627691189,0.955968913128938,1,1e-04
"1311","hot","ASV5354",0.9306224297704,0.866058106791763,1,5e-04
"1321","hot","ASV5356",0.945119934960711,0.893251691460139,1,1e-04
"1331","hot","ASV5363",0.925128154350363,0.855862101971709,1,0.0025
"1351","hot","ASV5797",0.91179764419189,0.831374943953881,1,0.0042
"1361","hot","ASV5857",0.910435809657916,0.828893363507465,1,2e-04
"1381","hot","ASV6063",0.913285494797206,0.834090395006978,1,1e-04
"1401","hot","ASV6276",0.907075547080839,0.822786048112003,1,0.0016
"1421","hot","ASV6604",0.973144775922098,0.947010754904471,1,1e-04
"1451","hot","ASV6741",0.983115418810242,0.966515926702437,1,1e-04
"1461","hot","ASV6825",0.87485359868849,0.87470722187223,0.875,0.028
"150","hot","ASV8144",0.945463880903871,0.893901950093809,1,1e-04
"152","hot","ASV9926",0.937988534846145,0.879822491502819,1,1e-04
"153","hot","ASV9928",0.909874442512768,0.827871501137921,1,0.001
"154","hot","ASV9938",0.910641274559424,0.829267530931213,1,0.0088
"156","hot","ASV9956",0.898073863867686,0.806536664962234,1,0.0016
"159","hot","ASV11152",0.903035379711263,0.815472897010265,1,0.0152
"161","hot","ASV12020",0.919638692296502,0.84573532436882,1,1e-04
"164","hot","ASV12286",0.906837828314231,0.82235484686167,1,0.0025
"1061","dark","ASV645",0.898398203410176,0.807119331890631,1,8e-04
"1101","dark","ASV2132",0.941122367916761,0.885711311393252,1,1e-04
"1122","dark","ASV2742",0.901865958142657,0.813362206456574,1,1e-04
"1182","dark","ASV4059",0.909381705993449,0.826975087195556,1,1e-04
"1242","dark","ASV5877",0.894553383394858,0.800225755743187,1,7e-04
"1302","dark","ASV9261",0.919644182747932,0.906155810209405,0.933333333333333,1e-04
"1312","dark","ASV9271",0.904423643941441,0.87640942255748,0.933333333333333,1e-04
"1322","dark","ASV9276",0.917004925015258,0.840898032502238,1,1e-04
"1332","dark","ASV9277",0.855272119836009,0.844027383425515,0.866666666666667,2e-04
"1342","dark","ASV9282",0.87428487249445,0.881970044160734,0.866666666666667,1e-04
"1362","dark","ASV9360",0.966569213700575,0.934256044873748,1,1e-04
"1412","dark","ASV11547",0.945036713587106,0.893094390027518,1,1e-04
"1422","dark","ASV11548",0.958433767721176,0.918595287108209,1,1e-04
"1452","dark","ASV12863",0.909690830965883,0.827537407943399,1,5e-04
"1462","dark","ASV13684",0.936078910394319,0.876243726485016,1,1e-04
